party_A,party_B,party_C,party_D
0,1,0,1
0,1,1,1
0,1,0,0
0,1,1,0
1,0,1,0
0,1,0,1
0,0,1,0
0,0,1,1
0,1,0,1
0,0,0,1
1,1,1,1
0,1,0,1
0,1,0,1
1,1,1,0
0,1,1,0
0,1,0,0
0,0,0,1
0,1,1,0
0,0,0,1
0,0,1,1
1,0,1,1
1,0,0,1
1,0,0,0
0,0,1,1
0,0,1,0
0,0,1,0
1,0,0,1
0,1,0,0
1,0,0,0
0,0,1,0
1,0,0,1
0,0,0,1
1,1,1,0
1,1,1,1
1,0,1,1
1,0,0,0
0,0,1,0
1,1,1,0
1,0,0,1
1,1,0,1
0,1,0,1
1,0,0,0
0,1,1,0
1,0,1,0
0,1,1,1
0,0,0,1
0,0,0,0
0,1,0,1
0,0,1,0
0,1,0,1
0,0,1,0
0,1,1,1
1,0,0,1
0,1,0,0
1,1,0,0
0,0,1,1
0,1,1,0
1,0,1,1
0,0,1,0
0,1,0,0
0,1,1,1
0,1,1,1
0,0,0,1
1,1,0,0
0,0,0,0
0,1,0,1
0,1,0,0
0,1,1,1
1,0,1,0
0,1,1,1
0,1,0,1
0,0,0,0
0,0,1,1
0,1,0,0
0,1,1,0
1,0,0,0
1,1,0,0
1,1,0,0
1,0,0,1
1,0,1,0
0,0,1,1
1,0,1,1
1,0,0,0
1,0,0,1
0,1,0,1
0,1,0,1
0,1,0,1
0,1,1,1
0,1,1,0
0,0,1,1
0,0,0,0
1,1,1,0
1,1,1,0
0,1,1,1
0,0,0,0
0,1,1,1
1,1,0,1
0,1,0,1
1,0,1,1
1,0,0,0
1,1,0,0
0,0,0,1
1,0,1,0
1,1,0,1
1,1,0,1
1,1,1,1
0,0,1,0
0,0,0,0
1,0,1,1
1,0,0,0
0,1,1,0
1,0,0,1
0,0,1,0
0,0,1,1
0,1,0,1
0,1,1,1
1,0,0,0
0,1,0,1
1,1,1,1
1,1,1,1
0,1,0,0
1,1,1,1
0,1,1,0
0,1,0,0
0,0,1,1
1,1,1,0
0,1,0,0
1,0,0,1
1,1,1,1
0,0,1,0
0,1,1,0
0,0,0,1
0,0,1,1
0,1,1,0
0,0,1,1
0,0,1,0
1,0,1,1
0,0,0,0
0,1,0,1
0,0,1,1
0,1,1,1
1,1,1,1
1,1,1,1
0,0,0,1
1,0,1,0
1,1,1,0
0,0,0,0
0,1,1,0
1,0,1,1
1,1,0,0
0,0,1,0
0,1,1,1
1,0,1,0
0,1,1,0
1,1,0,0
1,1,1,1
1,1,0,1
1,1,0,0
0,1,1,1
0,1,0,1
0,1,1,0
0,0,0,1
1,0,0,0
0,0,1,0
0,1,1,1
1,0,1,1
1,0,1,1
1,1,1,1
1,1,1,0
1,0,1,1
0,0,1,0
0,1,1,1
1,1,1,0
1,1,0,1
0,1,0,1
1,0,1,0
0,1,0,0
1,0,0,1
1,1,0,1
0,1,0,1
1,0,1,1
1,0,0,0
0,1,1,1
1,0,1,0
1,0,0,0
0,0,0,0
1,1,0,0
0,0,0,0
0,0,0,0
0,1,0,1
0,1,1,0
0,0,1,1
0,0,0,0
1,1,0,1
0,1,1,1
1,1,0,0
1,1,0,0
0,0,1,1
0,1,0,1
1,1,0,1
0,0,0,0
0,1,0,1
1,1,0,1
0,0,1,1
1,1,0,1
0,0,0,0
1,0,1,0
0,0,1,0
0,1,0,0
1,1,1,0
1,1,0,0
1,1,1,1
0,1,1,1
1,0,1,0
0,1,0,1
0,0,1,1
1,1,0,0
0,0,1,1
0,0,1,0
0,0,0,0
0,1,0,0
0,0,0,0
1,1,0,0
0,1,1,0
1,0,0,1
1,0,0,1
1,1,1,1
1,1,0,1
0,0,0,1
0,0,1,1
1,1,0,1
1,1,1,1
0,0,1,0
1,1,0,0
1,1,0,1
0,1,1,0
1,0,0,0
1,0,1,0
1,0,0,0
1,1,1,0
1,0,0,0
1,1,0,0
0,1,1,0
1,0,1,1
0,1,0,0
1,0,0,0
0,1,0,1
0,0,0,1
1,0,1,1
0,1,1,1
1,0,0,1
1,1,0,1
1,1,1,1
1,1,0,0
0,1,0,1
1,0,0,1
1,0,0,1
0,1,0,1
1,1,0,1
1,1,1,0
0,1,1,0
1,1,0,0
1,0,0,0
1,0,1,1
1,1,0,0
1,0,1,0
0,1,1,0
0,1,0,1
1,0,0,1
1,0,1,1
0,1,0,1
1,0,1,0
0,1,0,1
1,0,1,1
0,0,0,1
1,1,1,0
1,0,1,1
0,1,1,0
1,1,0,0
1,1,0,0
0,0,0,1
0,0,1,1
0,0,0,0
0,1,1,1
1,1,1,1
0,0,0,0
0,0,1,0
1,0,1,0
0,1,1,0
1,0,0,1
0,0,1,0
1,1,1,1
0,1,0,0
0,0,1,0
1,1,0,0
0,1,0,1
0,0,1,1
1,1,0,0
1,1,0,0
1,1,0,1
1,0,1,1
1,1,1,0
1,1,0,1
1,1,0,1
1,0,0,0
0,1,0,0
1,0,1,1
0,1,1,1
1,1,0,1
1,1,0,0
1,1,0,1
0,1,0,1
0,0,1,0
0,0,0,1
0,0,1,0
0,1,1,1
0,0,1,1
1,1,1,1
0,0,1,0
1,1,0,0
1,0,0,1
0,0,1,0
1,0,1,0
0,0,0,1
0,0,1,1
0,0,1,0
0,0,1,1
1,0,0,1
0,1,1,0
1,0,1,0
0,0,1,0
1,0,0,0
0,1,0,0
0,1,1,0
1,1,0,1
0,0,1,0
0,1,1,0
1,1,1,1
1,0,0,0
0,1,0,0
0,0,0,0
1,1,0,0
1,1,0,1
1,1,0,1
1,1,1,1
0,0,1,1
0,0,0,1
1,1,1,1
1,0,1,0
1,1,1,1
1,0,0,0
1,1,0,0
0,0,1,1
1,1,1,0
0,0,0,0
1,1,1,1
0,1,1,0
0,0,1,0
1,1,1,1
1,1,1,1
0,0,1,0
0,1,0,1
1,1,0,0
1,1,1,1
0,1,1,0
0,0,0,0
0,0,1,0
0,0,1,0
1,1,0,0
1,0,1,0
1,1,0,0
1,1,1,1
0,1,1,1
1,1,0,1
1,0,1,0
0,0,0,1
0,1,0,0
0,0,0,0
1,0,1,0
0,1,0,0
0,0,1,0
0,0,1,0
0,0,0,1
1,1,0,0
1,1,0,0
0,1,1,0
1,1,0,1
1,1,0,1
1,1,1,1
0,1,1,0
1,0,0,0
1,1,1,1
0,0,1,0
1,0,0,0
0,0,1,1
1,1,1,1
0,0,1,0
1,0,0,0
1,1,1,0
1,1,0,1
1,0,1,1
1,1,0,0
0,0,1,1
0,0,1,0
0,0,0,1
1,1,0,1
1,0,0,1
0,0,1,0
1,1,1,0
1,1,1,1
1,0,1,0
0,0,1,0
1,0,0,0
1,1,1,0
0,1,1,0
1,0,1,0
0,1,1,1
0,0,1,0
0,0,1,0
0,0,1,1
1,0,1,0
0,1,1,0
1,1,1,1
0,1,0,1
1,1,0,1
0,1,0,1
1,1,1,0
1,0,1,0
1,1,1,1
0,0,1,0
0,0,1,1
0,1,1,0
1,1,0,0
1,1,0,0
1,1,0,0
0,1,0,1
0,1,0,1
0,1,1,0
0,1,0,0
0,0,1,0
1,0,1,0
1,1,1,0
0,1,1,0
0,0,1,1
0,1,1,1
0,0,1,1
0,0,0,1
0,1,1,1
0,1,1,0
0,0,1,1
1,1,0,1
0,0,1,1
0,1,0,0
1,0,0,0
1,0,1,1
0,1,1,1
0,1,1,0
1,0,0,0
1,1,0,1
0,1,0,0
0,1,1,0
0,1,0,1
1,0,0,1
0,1,0,0
1,0,1,0
0,0,1,0
0,0,0,1
0,0,0,1
1,1,1,0
0,1,1,1
0,1,0,1
1,1,0,0
0,0,1,0
0,0,0,1
1,1,0,0
0,0,1,0
1,1,1,1
0,0,1,1
0,0,0,0
0,0,1,0
1,1,1,1
1,1,1,0
0,0,0,0
1,1,1,1
0,1,0,1
0,0,0,1
0,1,1,1
1,1,1,1
1,0,0,1
1,1,1,0
0,1,0,1
1,0,0,1
1,0,0,0
0,0,1,1
0,1,0,0
1,0,0,1
0,0,0,1
0,0,1,1
1,0,0,0
1,0,0,0
0,1,0,1
0,1,0,1
1,1,1,0
1,1,1,1
0,0,0,0
0,1,1,1
1,1,1,1
1,1,1,1
0,1,0,1
1,1,1,0
0,1,0,1
1,0,0,0
1,1,1,1
1,0,1,1
1,0,1,1
0,1,0,0
1,1,0,0
1,1,1,1
1,1,0,0
1,1,1,0
1,0,0,0
0,0,1,0
1,0,0,0
1,0,0,0
1,1,0,1
0,0,0,0
0,0,0,0
1,0,0,1
0,0,1,1
1,1,1,1
1,1,0,1
0,0,1,0
1,1,1,1
1,0,1,0
0,1,1,1
1,1,1,1
0,1,0,1
0,1,0,0
0,0,1,0
0,1,0,1
1,1,1,1
1,1,1,0
1,1,0,1
1,0,0,0
0,0,1,0
0,0,0,0
1,0,0,1
1,1,1,0
1,1,0,0
1,1,1,0
0,0,1,0
1,1,1,1
0,1,0,1
0,0,1,1
0,0,1,0
0,1,1,0
0,0,0,0
0,1,1,0
0,0,1,0
1,0,1,0
0,0,0,0
1,0,1,0
0,1,1,1
0,1,0,0
1,0,1,1
0,1,0,0
0,1,0,0
0,0,0,0
0,0,0,1
1,1,1,1
1,1,1,0
1,0,1,1
1,0,0,0
1,1,1,0
1,1,1,0
1,1,0,1
